activity_id,molregno,assay_id,doc_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,data_validity_comment,compound_chembl_id,compound_name,max_phase,molecule_type,first_approval,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,molecular_species,full_mwt,aromatic_rings,heavy_atoms,num_alerts,assay_type,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,target_chembl_id,target_name,target_type,target_organism
1,861,834,408,IC50,=,1.3560716722049024,nM,7.746178253890912,,,CHEMBL1101,Compound_0,3,Small molecule,,290.66288048455567,1.0252601561571144,11,0,107.93106351512091,1,Y,0,BASE,277.45680971125955,1,70,1,B,Rattus norvegicus,,,,CHEMBL423,Serotonin transporter,CELL-LINE,Homo sapiens
2,3773,858,275,IC50,=,9.855843377767139,nM,6.899201925665012,,,CHEMBL1401,,0,Antibody,,302.4624308932592,0.9381009496204478,7,1,45.60817147730455,8,N,0,NEUTRAL,202.89579519690943,3,10,1,A,Homo sapiens,,,,CHEMBL1583,Epidermal growth factor receptor,PROTEIN COMPLEX,Homo sapiens
3,3093,245,225,EC50,=,102.7971403183618,nM,6.025981073399054,,,CHEMBL2355,Compound_2,1,Small molecule,,327.72423251821084,4.310639795347447,2,1,62.68710665455902,8,N,0,NEUTRAL,473.2647495418319,5,78,0,F,Homo sapiens,,,,CHEMBL3176,Dopamine D2 receptor,PROTEIN COMPLEX,Homo sapiens
4,467,818,68,Ki,=,10.687585191602233,nM,5.434748420880231,,,CHEMBL294,Compound_3,0,Antibody,,338.2878047250058,3.691300094451357,14,1,75.60618281062321,7,Y,2,NEUTRAL,474.0547642999063,0,65,1,U,Homo sapiens,,,,CHEMBL2720,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
5,4427,526,184,EC50,=,6.6220361599117785,nM,7.900124814107812,,,CHEMBL1578,,2,Small molecule,,292.7130992466298,3.704265460341779,8,5,65.11521862427087,3,N,0,ACID,347.4559169108507,1,11,1,B,Homo sapiens,,,,CHEMBL3484,Epidermal growth factor receptor,SINGLE PROTEIN,Homo sapiens
6,3445,528,195,Potency,<,246.782304431992,nM,7.552173773562087,,,CHEMBL4269,Compound_5,3,Protein,,437.4800890361283,1.3090008806885365,5,3,95.81807849549526,9,Y,0,NEUTRAL,326.3588902619283,3,48,0,F,Homo sapiens,,,,CHEMBL574,Cannabinoid CB1 receptor,SINGLE PROTEIN,Homo sapiens
7,3172,950,42,Ki,=,12.758401731220376,nM,6.147476925392841,,,CHEMBL4059,,2,Small molecule,,351.9478476639894,1.765076089929677,3,5,62.952941551398695,0,Y,3,ACID,379.8166569856295,3,73,1,P,Homo sapiens,,,,CHEMBL2326,Serotonin transporter,PROTEIN FAMILY,Homo sapiens
8,2920,427,396,IC50,=,2.4980076108852427,nM,9.506660478060716,,,CHEMBL3434,Compound_7,2,Small molecule,,432.98191450096573,1.5779160027560728,3,4,51.19054977767287,19,Y,0,ACID,374.52588566583324,1,32,0,F,Mus musculus,,,,CHEMBL4474,Histone deacetylase 1,SINGLE PROTEIN,Homo sapiens
9,131,42,402,IC50,<,106.40312879917833,nM,8.570823371744336,,,CHEMBL3245,Compound_8,2,Small molecule,,491.3820635528025,1.52061091541658,7,3,70.2025274411091,18,Y,0,NEUTRAL,272.67799922370045,3,68,1,A,Homo sapiens,,,,CHEMBL2645,Acetylcholinesterase,SINGLE PROTEIN,Mus musculus
10,1686,465,151,Ki,=,195.114244404597,nM,5.560404261221478,,,CHEMBL304,,2,Small molecule,,285.4327710715029,3.3993390527579885,3,6,126.4755469713532,12,N,0,NEUTRAL,238.67522466035143,1,67,0,B,Homo sapiens,,,,CHEMBL1724,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens
